extId,Country,District,Ward,Village,Hamlet
TAP,Tanzania,Rufiji DC,Ngarambe,Tapika,NA
KIH,Tanzania,Rufiji DC,Ngorongo,Kilimani Magharibi,NA
PXT,Tanzania,Rufiji DC,Ngorongo,Kilimani Mashariki,NA
NG ,Tanzania,Rufiji DC,Ngorongo,Ngorongo Magharibi,NA
NGH,Tanzania,Rufiji DC,Ngorongo,Ngorongo Mashariki,NA
CAZ,Tanzania,Rufiji DC,Ruaruke,Kilulatambwe,NA
RFI,Tanzania,Rufiji DC,Ruaruke,Nyamatanga,NA
RUR,Tanzania,Rufiji DC,Ruaruke,Ruaruke,NA
RUU,Tanzania,Rufiji DC,Ruaruke,Ruaruke B,NA
RUG,Tanzania,Rufiji DC,Ruaruke,Rungungu,NA
LON,Tanzania,Rufiji DC,Salale,Kiomboni,NA
MCC,Tanzania,Rufiji DC,Salale,Mchinga,NA
MFI,Tanzania,Rufiji DC,Salale,Mfisini,NA
NYS,Tanzania,Rufiji DC,Salale,Nyamisati,NA
UMA,Tanzania,Rufiji DC,Umwe,Umwe Kaskazini,NA
UMU,Tanzania,Rufiji DC,Umwe,Umwe Kati,NA
UMS,Tanzania,Rufiji DC,Umwe,Umwe Kusini,NA
FBL,Tanzania,Rufiji DC,Utete,Kitundu,NA
RGH,Tanzania,Rufiji DC,Utete,Kiwili,NA
SIA,Tanzania,Rufiji DC,Utete,Siasa,NA
24 ,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,24 de Julho
25 ,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,25 de Junho
4 D,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,4 de Outubro
7 D,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,7 de Abril
8 D,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,8 de Marco
ALF,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Alfredo
AMB,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Ambrosio
ARM,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Armando Emilio Guebuza
BAT,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Batelao
BEN,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Benejoaque
CAP,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Capece
CHO,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Chicote
CHC,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Chimpene
