list_name,name,label::Portuguese,label::Swahili,country,region,district,ward,village,hamlet,code
hamlet,Namitala,Namitala,Namitala,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Namitala,NAM
hamlet,Nhungulo,Nhungulo,Nhungulo,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Nhungulo,XNZ
hamlet,Paz,Paz,Paz,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Paz,PZS
hamlet,Samaral,Samaral,Samaral,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Samaral,SAA
hamlet,Samora Machel,Samora Machel,Samora Machel,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Samora Machel,XSA
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Outro,NA
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Other,Outro,NA
hamlet,1 de Maio,1 de Maio,1 de Maio,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,1 de Maio,XMO
hamlet,25 de Junho,25 de Junho,25 de Junho,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,25 de Junho,XJN
hamlet,25 de Setembro,25 de Setembro,25 de Setembro,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,25 de Setembro,XSE
hamlet,4 de Outubro,4 de Outubro,4 de Outubro,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,4 de Outubro,XOU
hamlet,7 de Abril,7 de Abril,7 de Abril,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,7 de Abril,XAB
hamlet,Andale,Andale,Andale,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Andale,AND
hamlet,Antonio,Antonio,Antonio,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Antonio,ANT
hamlet,Changaue,Changaue,Changaue,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Changaue,CHA
hamlet,Licasse,Licasse,Licasse,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Licasse,LIC
hamlet,Manhai,Manhai,Manhai,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Manhai,MAH
hamlet,Mbawala,Mbawala,Mbawala,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Mbawala,MBA
hamlet,Morais,Morais,Morais,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Morais,MOR
hamlet,Muacaniua,Muacaniua,Muacaniua,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Muacaniua,MUA
hamlet,Murrongone,Murrongone,Murrongone,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Murrongone,MUO
hamlet,Namaria,Namaria,Namaria,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Namaria,NAA
hamlet,Nhagoanine,Nhagoanine,Nhagoanine,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Nhagoanine,NHO
hamlet,Panela,Panela,Panela,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Panela,PAN
hamlet,Raposo,Raposo,Raposo,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Raposo,RAP
hamlet,Waluto,Waluto,Waluto,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Waluto,WAL
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,Outro,NA
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Catale,Other,Outro,NA
hamlet,Cadongo,Cadongo,Cadongo,Mozambique,Zambezia,Mopeia,Campo | Luala,Cadongo,Cadongo,CAD
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Luala,Cadongo,Outro,NA
hamlet,Caline A,Caline A,Caline A,Mozambique,Zambezia,Mopeia,Campo | Luala,Caline,Caline A,CAA
hamlet,Caline B,Caline B,Caline B,Mozambique,Zambezia,Mopeia,Campo | Luala,Caline,Caline B,CAB
hamlet,Micombezi,Micombezi,Micombezi,Mozambique,Zambezia,Mopeia,Campo | Luala,Caline,Micombezi,MIC
hamlet,Nansenguene,Nansenguene,Nansenguene,Mozambique,Zambezia,Mopeia,Campo | Luala,Caline,Nansenguene,XNN
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Luala,Caline,Outro,NA
