"list_name","name","label::English","label::Portuguese","label::Swahili","country","region","district","ward","village"
"ward","Mtunda","Mtunda","Mtunda","Mtunda","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Mwambao","Mwambao","Mwambao","Mwambao","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Ruaruke","Ruaruke","Ruaruke","Ruaruke","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Salale","Salale","Salale","Salale","Tanzania","Pwani","Kibiti DC","NA","NA"
"ward","Chemchem","Chemchem","Chemchem","Chemchem","Tanzania","Pwani","Rufiji DC","NA","NA"
"ward","Chumbi","Chumbi","Chumbi","Chumbi","Tanzania","Pwani","Rufiji DC","NA","NA"
"ward","Ikwiriri","Ikwiriri","Ikwiriri","Ikwiriri","Tanzania","Pwani","Rufiji DC","NA","NA"
"ward","Kipugira","Kipugira","Kipugira","Kipugira","Tanzania","Pwani","Rufiji DC","NA","NA"
"ward","Mbwara","Mbwara","Mbwara","Mbwara","Tanzania","Pwani","Rufiji DC","NA","NA"
"ward","Mgomba","Mgomba","Mgomba","Mgomba","Tanzania","Pwani","Rufiji DC","NA","NA"
"ward","Mkongo","Mkongo","Mkongo","Mkongo","Tanzania","Pwani","Rufiji DC","NA","NA"
"ward","Mohoro","Mohoro","Mohoro","Mohoro","Tanzania","Pwani","Rufiji DC","NA","NA"
"ward","Mwaseni","Mwaseni","Mwaseni","Mwaseni","Tanzania","Pwani","Rufiji DC","NA","NA"
"ward","Ngarambe","Ngarambe","Ngarambe","Ngarambe","Tanzania","Pwani","Rufiji DC","NA","NA"
"ward","Ngorongo","Ngorongo","Ngorongo","Ngorongo","Tanzania","Pwani","Rufiji DC","NA","NA"
"ward","Umwe","Umwe","Umwe","Umwe","Tanzania","Pwani","Rufiji DC","NA","NA"
"ward","Utete","Utete","Utete","Utete","Tanzania","Pwani","Rufiji DC","NA","NA"
"village","Mopeia Sede/Cuacua","Mopeia Sede/Cuacua","Mopeia Sede/Cuacua","Mopeia Sede/Cuacua","Mozambique","Zambezia","Mopeia","Mopeia Sede","NA"
"village","Rovuma/Conho","Rovuma/Conho","Rovuma/Conho","Rovuma/Conho","Mozambique","Zambezia","Mopeia","Mopeia Sede","NA"
"village","Other","Other","Outro","Nyingine","Mozambique","Zambezia","Mopeia","Mopeia Sede","NA"
"village","Campo Sede","Campo Sede","Campo Sede","Campo Sede","Mozambique","Zambezia","Mopeia","Posto Campo","NA"
"village","Catale","Catale","Catale","Catale","Mozambique","Zambezia","Mopeia","Posto Campo","NA"
"village","Luala","Luala","Luala","Luala","Mozambique","Zambezia","Mopeia","Posto Campo","NA"
"village","Mungane","Mungane","Mungane","Mungane","Mozambique","Zambezia","Mopeia","Posto Campo","NA"
"village","Other","Other","Outro","Nyingine","Mozambique","Zambezia","Mopeia","Posto Campo","NA"
"village","Sambalendo","Sambalendo","Sambalendo","Sambalendo","Mozambique","Zambezia","Mopeia","Sambalendo","NA"
"village","Other","Other","Outro","Nyingine","Mozambique","Zambezia","Mopeia","Sambalendo","NA"
"village","Bungu A","Bungu A","Bungu A","Bungu A","Tanzania","Pwani","Kibiti DC","Bungu","NA"
"village","Bungu B","Bungu B","Bungu B","Bungu B","Tanzania","Pwani","Kibiti DC","Bungu","NA"
"village","Mangombela","Mangombela","Mangombela","Mangombela","Tanzania","Pwani","Kibiti DC","Bungu","NA"
"village","Msafiri","Msafiri","Msafiri","Msafiri","Tanzania","Pwani","Kibiti DC","Bungu","NA"
"village","Nyambili","Nyambili","Nyambili","Nyambili","Tanzania","Pwani","Kibiti DC","Bungu","NA"
"village","Nyambunda","Nyambunda","Nyambunda","Nyambunda","Tanzania","Pwani","Kibiti DC","Bungu","NA"
"village","Pagae","Pagae","Pagae","Pagae","Tanzania","Pwani","Kibiti DC","Bungu","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Bungu","NA"
"village","Bondeni","Bondeni","Bondeni","Bondeni","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Dimani","Dimani","Dimani","Dimani","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Dimani A","Dimani A","Dimani A","Dimani A","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Dimani B","Dimani B","Dimani B","Dimani B","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Kilimbili","Kilimbili","Kilimbili","Kilimbili","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Kimbuga","Kimbuga","Kimbuga","Kimbuga","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Ng'ambo","Ng'ambo","Ng'ambo","Ng'ambo","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Ngulakula","Ngulakula","Ngulakula","Ngulakula","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Nyambangala","Nyambangala","Nyambangala","Nyambangala","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Penda","Penda","Penda","Penda","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Penda-kimbuga","Penda-kimbuga","Penda-kimbuga","Penda-kimbuga","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Penda-miwaga","Penda-miwaga","Penda-miwaga","Penda-miwaga","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Dimani","NA"
"village","Kibiti Kati","Kibiti Kati","Kibiti Kati","Kibiti Kati","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Kibiti Kusini","Kibiti Kusini","Kibiti Kusini","Kibiti Kusini","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Kingwira","Kingwira","Kingwira","Kingwira","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Kitembo","Kitembo","Kitembo","Kitembo","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Lumionzi","Lumionzi","Lumionzi","Lumionzi","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Makaoni","Makaoni","Makaoni","Makaoni","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Mbebetini","Mbebetini","Mbebetini","Mbebetini","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Mkubuge","Mkubuge","Mkubuge","Mkubuge","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Mkundi","Mkundi","Mkundi","Mkundi","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Mkupuka","Mkupuka","Mkupuka","Mkupuka","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Nyamakingili","Nyamakingili","Nyamakingili","Nyamakingili","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Nyangwego","Nyangwego","Nyangwego","Nyangwego","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Nyatanga","Nyatanga","Nyatanga","Nyatanga","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Runyozi","Runyozi","Runyozi","Runyozi","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Sokoni","Sokoni","Sokoni","Sokoni","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Zimbwini","Zimbwini","Zimbwini","Zimbwini","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Kibiti","NA"
"village","Jaja","Jaja","Jaja","Jaja","Tanzania","Pwani","Kibiti DC","Kiongoroni","NA"
"village","Kiongoroni","Kiongoroni","Kiongoroni","Kiongoroni","Tanzania","Pwani","Kibiti DC","Kiongoroni","NA"
"village","Pombwe","Pombwe","Pombwe","Pombwe","Tanzania","Pwani","Kibiti DC","Kiongoroni","NA"
"village","Ruma","Ruma","Ruma","Ruma","Tanzania","Pwani","Kibiti DC","Kiongoroni","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Kiongoroni","NA"
"village","Hanga","Hanga","Hanga","Hanga","Tanzania","Pwani","Kibiti DC","Mahege","NA"
"village","Mahege","Mahege","Mahege","Mahege","Tanzania","Pwani","Kibiti DC","Mahege","NA"
"village","Nyakinyo","Nyakinyo","Nyakinyo","Nyakinyo","Tanzania","Pwani","Kibiti DC","Mahege","NA"
"village","Nyanjati","Nyanjati","Nyanjati","Nyanjati","Tanzania","Pwani","Kibiti DC","Mahege","NA"
"village","Tomoni","Tomoni","Tomoni","Tomoni","Tanzania","Pwani","Kibiti DC","Mahege","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Mahege","NA"
"village","Kiechuru","Kiechuru","Kiechuru","Kiechuru","Tanzania","Pwani","Kibiti DC","Maparoni","NA"
"village","Maparoni","Maparoni","Maparoni","Maparoni","Tanzania","Pwani","Kibiti DC","Maparoni","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Maparoni","NA"
"village","Mbuchi","Mbuchi","Mbuchi","Mbuchi","Tanzania","Pwani","Kibiti DC","Mbuchi","NA"
"village","Mbwera Magharibi","Mbwera Magharibi","Mbwera Magharibi","Mbwera Magharibi","Tanzania","Pwani","Kibiti DC","Mbuchi","NA"
"village","Mbwera Mashariki","Mbwera Mashariki","Mbwera Mashariki","Mbwera Mashariki","Tanzania","Pwani","Kibiti DC","Mbuchi","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Mbuchi","NA"
"village","Mangwi","Mangwi","Mangwi","Mangwi","Tanzania","Pwani","Kibiti DC","Mchukwi","NA"
"village","Mchukwi A","Mchukwi A","Mchukwi A","Mchukwi A","Tanzania","Pwani","Kibiti DC","Mchukwi","NA"
"village","Mchukwi B","Mchukwi B","Mchukwi B","Mchukwi B","Tanzania","Pwani","Kibiti DC","Mchukwi","NA"
"village","Mkupuka","Mkupuka","Mkupuka","Mkupuka","Tanzania","Pwani","Kibiti DC","Mchukwi","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Mchukwi","NA"
"village","Jaribu Magharibi","Jaribu Magharibi","Jaribu Magharibi","Jaribu Magharibi","Tanzania","Pwani","Kibiti DC","Mjawa","NA"
"village","Jaribu Mpakani","Jaribu Mpakani","Jaribu Mpakani","Jaribu Mpakani","Tanzania","Pwani","Kibiti DC","Mjawa","NA"
"village","Mjawa","Mjawa","Mjawa","Mjawa","Tanzania","Pwani","Kibiti DC","Mjawa","NA"
"village","Motomoto","Motomoto","Motomoto","Motomoto","Tanzania","Pwani","Kibiti DC","Mjawa","NA"
"village","Ngalengwa","Ngalengwa","Ngalengwa","Ngalengwa","Tanzania","Pwani","Kibiti DC","Mjawa","NA"
"village","Uchembe","Uchembe","Uchembe","Uchembe","Tanzania","Pwani","Kibiti DC","Mjawa","NA"
"village","Uponda","Uponda","Uponda","Uponda","Tanzania","Pwani","Kibiti DC","Mjawa","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Mjawa","NA"
"village","Machipi","Machipi","Machipi","Machipi","Tanzania","Pwani","Kibiti DC","Mlanzi","NA"
"village","Mlanzi","Mlanzi","Mlanzi","Mlanzi","Tanzania","Pwani","Kibiti DC","Mlanzi","NA"
"village","Ngondai","Ngondai","Ngondai","Ngondai","Tanzania","Pwani","Kibiti DC","Mlanzi","NA"
"village","Nyamwimbe","Nyamwimbe","Nyamwimbe","Nyamwimbe","Tanzania","Pwani","Kibiti DC","Mlanzi","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Mlanzi","NA"
"village","Kiasi","Kiasi","Kiasi","Kiasi","Tanzania","Pwani","Kibiti DC","Msala","NA"
"village","Msala","Msala","Msala","Msala","Tanzania","Pwani","Kibiti DC","Msala","NA"
"village","Twasalie","Twasalie","Twasalie","Twasalie","Tanzania","Pwani","Kibiti DC","Msala","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Msala","NA"
"village","Bumba","Bumba","Bumba","Bumba","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Kilimbili","Kilimbili","Kilimbili","Kilimbili","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Kinyanya Kati","Kinyanya Kati","Kinyanya Kati","Kinyanya Kati","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Magogo Matatu","Magogo Matatu","Magogo Matatu","Magogo Matatu","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Matumbi","Matumbi","Matumbi","Matumbi","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Mikendo","Mikendo","Mikendo","Mikendo","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Msoro","Msoro","Msoro","Msoro","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Mulandecha","Mulandecha","Mulandecha","Mulandecha","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Ndechamula","Ndechamula","Ndechamula","Ndechamula","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Nyamlani","Nyamlani","Nyamlani","Nyamlani","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Roja","Roja","Roja","Roja","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Ugezi","Ugezi","Ugezi","Ugezi","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Umikendo","Umikendo","Umikendo","Umikendo","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Umkunama","Umkunama","Umkunama","Umkunama","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Unyamlani","Unyamlani","Unyamlani","Unyamlani","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Upazi","Upazi","Upazi","Upazi","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Zomboko","Zomboko","Zomboko","Zomboko","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Mtawanya","NA"
"village","Kikale","Kikale","Kikale","Kikale","Tanzania","Pwani","Kibiti DC","Mtunda","NA"
"village","Mtunda A","Mtunda A","Mtunda A","Mtunda A","Tanzania","Pwani","Kibiti DC","Mtunda","NA"
"village","Mtunda B","Mtunda B","Mtunda B","Mtunda B","Tanzania","Pwani","Kibiti DC","Mtunda","NA"
"village","Muyuyu","Muyuyu","Muyuyu","Muyuyu","Tanzania","Pwani","Kibiti DC","Mtunda","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Mtunda","NA"
"village","Kigunguli","Kigunguli","Kigunguli","Kigunguli","Tanzania","Pwani","Kibiti DC","Mwambao","NA"
"village","Kivinja A","Kivinja A","Kivinja A","Kivinja A","Tanzania","Pwani","Kibiti DC","Mwambao","NA"
"village","Kivinja B","Kivinja B","Kivinja B","Kivinja B","Tanzania","Pwani","Kibiti DC","Mwambao","NA"
"village","Mchungu","Mchungu","Mchungu","Mchungu","Tanzania","Pwani","Kibiti DC","Mwambao","NA"
"village","Mkenda","Mkenda","Mkenda","Mkenda","Tanzania","Pwani","Kibiti DC","Mwambao","NA"
"village","Msindaji","Msindaji","Msindaji","Msindaji","Tanzania","Pwani","Kibiti DC","Mwambao","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Mwambao","NA"
"village","Kilulatambwe","Kilulatambwe","Kilulatambwe","Kilulatambwe","Tanzania","Pwani","Kibiti DC","Ruaruke","NA"
"village","Nyamatanga","Nyamatanga","Nyamatanga","Nyamatanga","Tanzania","Pwani","Kibiti DC","Ruaruke","NA"
"village","Ruaruke A Nyamatimba","Ruaruke A Nyamatimba","Ruaruke A Nyamatimba","Ruaruke A Nyamatimba","Tanzania","Pwani","Kibiti DC","Ruaruke","NA"
"village","Ruaruke B","Ruaruke B","Ruaruke B","Ruaruke B","Tanzania","Pwani","Kibiti DC","Ruaruke","NA"
"village","Rungungu","Rungungu","Rungungu","Rungungu","Tanzania","Pwani","Kibiti DC","Ruaruke","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Ruaruke","NA"
"village","Kiomboni","Kiomboni","Kiomboni","Kiomboni","Tanzania","Pwani","Kibiti DC","Salale","NA"
"village","Mchinga","Mchinga","Mchinga","Mchinga","Tanzania","Pwani","Kibiti DC","Salale","NA"
"village","Mfisini","Mfisini","Mfisini","Mfisini","Tanzania","Pwani","Kibiti DC","Salale","NA"
"village","Nyamisati","Nyamisati","Nyamisati","Nyamisati","Tanzania","Pwani","Kibiti DC","Salale","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Kibiti DC","Salale","NA"
"village","Golani","Golani","Golani","Golani","Tanzania","Pwani","Rufiji DC","Chemchem","NA"
"village","Kindwiti","Kindwiti","Kindwiti","Kindwiti","Tanzania","Pwani","Rufiji DC","Chemchem","NA"
"village","Kipei","Kipei","Kipei","Kipei","Tanzania","Pwani","Rufiji DC","Chemchem","NA"
"village","Nyandakatundu","Nyandakatundu","Nyandakatundu","Nyandakatundu","Tanzania","Pwani","Rufiji DC","Chemchem","NA"
"village","Nyandumbi","Nyandumbi","Nyandumbi","Nyandumbi","Tanzania","Pwani","Rufiji DC","Chemchem","NA"
"village","Nyangwai","Nyangwai","Nyangwai","Nyangwai","Tanzania","Pwani","Rufiji DC","Chemchem","NA"
"village","Nyawanje/Ngwembele","Nyawanje/Ngwembele","Nyawanje/Ngwembele","Nyawanje/Ngwembele","Tanzania","Pwani","Rufiji DC","Chemchem","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Chemchem","NA"
"village","Chumbi A","Chumbi A","Chumbi A","Chumbi A","Tanzania","Pwani","Rufiji DC","Chumbi","NA"
"village","Chumbi B","Chumbi B","Chumbi B","Chumbi B","Tanzania","Pwani","Rufiji DC","Chumbi","NA"
"village","Chumbi C","Chumbi C","Chumbi C","Chumbi C","Tanzania","Pwani","Rufiji DC","Chumbi","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Chumbi","NA"
"village","Ikwiriri Kaskazini","Ikwiriri Kaskazini","Ikwiriri Kaskazini","Ikwiriri Kaskazini","Tanzania","Pwani","Rufiji DC","Ikwiriri","NA"
"village","Ikwiriri Kati","Ikwiriri Kati","Ikwiriri Kati","Ikwiriri Kati","Tanzania","Pwani","Rufiji DC","Ikwiriri","NA"
"village","Ikwiriri Kusini","Ikwiriri Kusini","Ikwiriri Kusini","Ikwiriri Kusini","Tanzania","Pwani","Rufiji DC","Ikwiriri","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Ikwiriri","NA"
"village","Kipo","Kipo","Kipo","Kipo","Tanzania","Pwani","Rufiji DC","Kipugira","NA"
"village","Kipugira","Kipugira","Kipugira","Kipugira","Tanzania","Pwani","Rufiji DC","Kipugira","NA"
"village","Ndundunyikanza","Ndundunyikanza","Ndundunyikanza","Ndundunyikanza","Tanzania","Pwani","Rufiji DC","Kipugira","NA"
"village","Nyaminywili","Nyaminywili","Nyaminywili","Nyaminywili","Tanzania","Pwani","Rufiji DC","Kipugira","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Kipugira","NA"
"village","Kitapi","Kitapi","Kitapi","Kitapi","Tanzania","Pwani","Rufiji DC","Mbwara","NA"
"village","Mbwara","Mbwara","Mbwara","Mbwara","Tanzania","Pwani","Rufiji DC","Mbwara","NA"
"village","Nambunju","Nambunju","Nambunju","Nambunju","Tanzania","Pwani","Rufiji DC","Mbwara","NA"
"village","Nyamwage","Nyamwage","Nyamwage","Nyamwage","Tanzania","Pwani","Rufiji DC","Mbwara","NA"
"village","Tawi","Tawi","Tawi","Tawi","Tanzania","Pwani","Rufiji DC","Mbwara","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Mbwara","NA"
"village","Mgomba Kaskazini","Mgomba Kaskazini","Mgomba Kaskazini","Mgomba Kaskazini","Tanzania","Pwani","Rufiji DC","Mgomba","NA"
"village","Mgomba Kati","Mgomba Kati","Mgomba Kati","Mgomba Kati","Tanzania","Pwani","Rufiji DC","Mgomba","NA"
"village","Mgomba Kusini","Mgomba Kusini","Mgomba Kusini","Mgomba Kusini","Tanzania","Pwani","Rufiji DC","Mgomba","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Mgomba","NA"
"village","Mbunju Mvuleni","Mbunju Mvuleni","Mbunju Mvuleni","Mbunju Mvuleni","Tanzania","Pwani","Rufiji DC","Mkongo","NA"
"village","Mkongo Kaskazini","Mkongo Kaskazini","Mkongo Kaskazini","Mkongo Kaskazini","Tanzania","Pwani","Rufiji DC","Mkongo","NA"
"village","Mkongo Kusini","Mkongo Kusini","Mkongo Kusini","Mkongo Kusini","Tanzania","Pwani","Rufiji DC","Mkongo","NA"
"village","Ruwe","Ruwe","Ruwe","Ruwe","Tanzania","Pwani","Rufiji DC","Mkongo","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Mkongo","NA"
"village","King'ong'o","King'ong'o","King'ong'o","King'ong'o","Tanzania","Pwani","Rufiji DC","Mohoro","NA"
"village","Kiwanga","Kiwanga","Kiwanga","Kiwanga","Tanzania","Pwani","Rufiji DC","Mohoro","NA"
"village","Mohoro Magharibi","Mohoro Magharibi","Mohoro Magharibi","Mohoro Magharibi","Tanzania","Pwani","Rufiji DC","Mohoro","NA"
"village","Mohoro Mashariki","Mohoro Mashariki","Mohoro Mashariki","Mohoro Mashariki","Tanzania","Pwani","Rufiji DC","Mohoro","NA"
"village","Ndundutawa","Ndundutawa","Ndundutawa","Ndundutawa","Tanzania","Pwani","Rufiji DC","Mohoro","NA"
"village","Shela","Shela","Shela","Shela","Tanzania","Pwani","Rufiji DC","Mohoro","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Mohoro","NA"
"village","Mloka","Mloka","Mloka","Mloka","Tanzania","Pwani","Rufiji DC","Mwaseni","NA"
"village","Mtanza /Msona","Mtanza /Msona","Mtanza /Msona","Mtanza /Msona","Tanzania","Pwani","Rufiji DC","Mwaseni","NA"
"village","Mwaseni","Mwaseni","Mwaseni","Mwaseni","Tanzania","Pwani","Rufiji DC","Mwaseni","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Mwaseni","NA"
"village","Kungulwe","Kungulwe","Kungulwe","Kungulwe","Tanzania","Pwani","Rufiji DC","Ngarambe","NA"
"village","Namakono","Namakono","Namakono","Namakono","Tanzania","Pwani","Rufiji DC","Ngarambe","NA"
"village","Ngarambe Mashariki","Ngarambe Mashariki","Ngarambe Mashariki","Ngarambe Mashariki","Tanzania","Pwani","Rufiji DC","Ngarambe","NA"
"village","Ngarambemagharibi","Ngarambemagharibi","Ngarambemagharibi","Ngarambemagharibi","Tanzania","Pwani","Rufiji DC","Ngarambe","NA"
"village","Tapika","Tapika","Tapika","Tapika","Tanzania","Pwani","Rufiji DC","Ngarambe","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Ngarambe","NA"
"village","Kilimani Magharibi","Kilimani Magharibi","Kilimani Magharibi","Kilimani Magharibi","Tanzania","Pwani","Rufiji DC","Ngorongo","NA"
"village","Kilimani Mashariki","Kilimani Mashariki","Kilimani Mashariki","Kilimani Mashariki","Tanzania","Pwani","Rufiji DC","Ngorongo","NA"
"village","Ngorongo Magharibi","Ngorongo Magharibi","Ngorongo Magharibi","Ngorongo Magharibi","Tanzania","Pwani","Rufiji DC","Ngorongo","NA"
"village","Ngorongo Mashariki","Ngorongo Mashariki","Ngorongo Mashariki","Ngorongo Mashariki","Tanzania","Pwani","Rufiji DC","Ngorongo","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Ngorongo","NA"
"village","Umwe Kaskazini","Umwe Kaskazini","Umwe Kaskazini","Umwe Kaskazini","Tanzania","Pwani","Rufiji DC","Umwe","NA"
"village","Umwe Kati","Umwe Kati","Umwe Kati","Umwe Kati","Tanzania","Pwani","Rufiji DC","Umwe","NA"
"village","Umwe Kusini","Umwe Kusini","Umwe Kusini","Umwe Kusini","Tanzania","Pwani","Rufiji DC","Umwe","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Umwe","NA"
"village","Kitundu","Kitundu","Kitundu","Kitundu","Tanzania","Pwani","Rufiji DC","Utete","NA"
"village","Kiwili","Kiwili","Kiwili","Kiwili","Tanzania","Pwani","Rufiji DC","Utete","NA"
"village","Siasa","Siasa","Siasa","Siasa","Tanzania","Pwani","Rufiji DC","Utete","NA"
"village","Other","Other","Outro","Nyingine","Tanzania","Pwani","Rufiji DC","Utete","NA"
"hamlet","24 de Julho","24 de Julho","24 de Julho","24 de Julho","Mozambique","Zambezia","Mopeia","Mopeia Sede","Mopeia Sede/Cuacua"
"hamlet","25 de Junho","25 de Junho","25 de Junho","25 de Junho","Mozambique","Zambezia","Mopeia","Mopeia Sede","Mopeia Sede/Cuacua"
"hamlet","4 de Outubro","4 de Outubro","4 de Outubro","4 de Outubro","Mozambique","Zambezia","Mopeia","Mopeia Sede","Mopeia Sede/Cuacua"
"hamlet","7 de Abril","7 de Abril","7 de Abril","7 de Abril","Mozambique","Zambezia","Mopeia","Mopeia Sede","Mopeia Sede/Cuacua"
